Address,flat_type,floor_area_list,resale_price_list
408 Bt Batok West Ave 4 S(650408),4-Room,94.0 sqm,"$550,000"
713 Clementi West St 2 S(120713),4-Room,93.0 sqm,"$550,000"
612 Ang Mo Kio Ave 4 S(560612),4-Room,91.0 sqm,"$550,000"
36 Marsiling Dr S(730036),5-Room,124.0 sqm,"$550,000"
36 Marsiling Dr S(730036),5-Room,124.0 sqm,"$550,000"
288 Choa Chu Kang Ave 3 S(680288),4-Room,105.0 sqm,"$555,000"
686A Choa Chu Kang Cres S(681686),5-Room,110.0 sqm,"$555,888"
311B Anchorvale Lane S(542311),4-Room,90.0 sqm,"$558,000"
15 Ghim Moh Rd S(270015),4-Room,82.0 sqm,"$558,000"
131 Bt Batok West Ave 6 S(650131),4-Room,103.0 sqm,"$559,000"
470B Fernvale Link S(792470),3-Room,68.0 sqm,"$560,000"
302B Anchorvale Link S(542302),3-Room,83.0 sqm,"$560,000"
304 Shunfu Rd S(570304),3-Room,67.0 sqm,"$560,000"
504 Woodlands Dr 14 S(730504),4-Room,101.0 sqm,"$560,000"
474 Ang Mo Kio Ave 10 S(560474),4-Room,91.0 sqm,"$560,000"
890C Tampines Ave 1 S(523890),3-Room,69.0 sqm,"$568,000"
542 Woodlands Dr 16 S(730542),4-Room,101.0 sqm,"$568,000"
54 Telok Blangah Dr S(100054),3-Room,88.0 sqm,"$570,000"
677B Jurong West St 64 S(642677),4-Room,90.0 sqm,"$570,000"
171C Edgedale Plains S(823171),4-Room,85.0 sqm,"$570,000"
134 Edgedale Plains S(820134),4-Room,91.0 sqm,"$570,000"
668B Jurong West St 64 S(642668),4-Room,85.0 sqm,"$570,000"
349 Ubi Ave 1 S(400349),4-Room,84.0 sqm,"$570,000"
102 Jln Rajah S(321102),4-Room,94.0 sqm,"$570,000"
433 Clementi Ave 3 S(120433),4-Room,91.0 sqm,"$570,000"
37 Bedok Sth Ave 2 S(460037),4-Room,84.0 sqm,"$570,000"
64 Telok Blangah Dr S(100064),3-Room,82.0 sqm,"$575,000"
618 Senja Rd S(670618),4-Room,90.0 sqm,"$575,000"
271C Jurong West St 24 S(643271),5-Room,112.0 sqm,"$577,000"
582 Woodlands Dr 16 S(730582),5-Room,110.0 sqm,"$577,000"
359B Admiralty Dr S(752359),4-Room,95.0 sqm,"$578,000"
713 Yishun St 71 S(760713),4-Room,103.0 sqm,"$578,000"
4 Holland Cl S(271004),3-Room,65.0 sqm,"$580,000"
133 Edgedale Plains S(820133),4-Room,91.0 sqm,"$580,000"
341B Sembawang Cl S(752341),4-Room,95.0 sqm,"$580,000"
411 Choa Chu Kang Ave 3 S(680411),4-Room,103.0 sqm,"$580,000"
820 Yishun St 81 S(760820),4-Room,104.0 sqm,"$580,000"
339 Bt Batok St 34 S(650339),4-Room,107.0 sqm,"$580,000"
435 Clementi Ave 3 S(120435),4-Room,91.0 sqm,"$580,000"
484 Admiralty Link S(750484),5-Room,110.0 sqm,"$580,000"
402 Admiralty Link S(750402),5-Room,110.0 sqm,"$580,000"
648D Jurong West St 61 S(644648),5-Room,110.0 sqm,"$580,000"
240A Jurong East Ave 1 S(601240),3-Room,68.0 sqm,"$582,000"
353 Yishun Ring Rd S(760353),4-Room,105.0 sqm,"$582,888"
362A Sembawang Cres S(751362),4-Room,93.0 sqm,"$585,000"
232 Compassvale Walk S(540232),4-Room,101.0 sqm,"$585,000"
704 Choa Chu Kang St 53 S(680704),4-Room,107.0 sqm,"$585,000"
461A Bt Batok West Ave 8 S(651461),4-Room,93.0 sqm,"$588,000"
311B Anchorvale Lane S(542311),4-Room,90.0 sqm,"$588,000"
290 Choa Chu Kang Ave 3 S(680290),4-Room,106.0 sqm,"$588,000"
206 Bt Batok St 21 S(650206),4-Room,104.0 sqm,"$588,000"
386 Bt Batok West Ave 5 S(650386),4-Room,92.0 sqm,"$588,888"
